,tweet,clean_tweets,only_english_words,company,brand,emotion,emotion_textblob,subjectivity_tweet,subjectivity_clean,subjectivity_english,polarity_tweet,polarity_clean,polarity_english,target
0,  wesley83 I have a 3G iPhone  After 3 hrs tweeting at  RISE Austin  it was dead   I need to upgrade  Plugin stations at  SXSW ,    i have a   iphone  after   hrs tweeting at  rise austin  it was dead   i need to upgrade  plugin stations at  sxsw ,i have a after at rise it was dead i need to upgrade at,iPhone,Apple,Negative emotion,Negative Emotion,0.4,0.4,0.4,-0.2,-0.2,-0.2,0
1, jessedee Know about  fludapp   Awesome iPad iPhone app that you'll likely appreciate for its design  Also  they're giving free Ts at  SXSW, jessedee know about  fludapp   awesome ipad iphone app that you ll likely appreciate for its design  also  they re giving free ts at  sxsw,know about awesome that you likely appreciate for its design also they re giving free at,iPhone,Apple,Positive emotion,Positive emotion,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.4666666666666666,0.4666666666666666,0.4666666666666666,1
2, swonderlin Can not wait for  iPad 2 also  They should sale them down at  SXSW , swonderlin can not wait for  ipad   also  they should sale them down at  sxsw ,can not wait for also they should sale them down at,iPad,Apple,Positive emotion,Negative Emotion,0.2888888888888889,0.2888888888888889,0.2888888888888889,-0.15555555555555559,-0.15555555555555559,-0.15555555555555559,1
3, sxsw I hope this year's festival isn't as crashy as this year's iPhone app   sxsw, sxsw i hope this year s festival isn t as crashy as this year s iphone app   sxsw,i hope this year s festival t as as this year s,iPhone,Apple,Negative emotion,No emotion toward brand or product,0.0,0.0,0.0,0.0,0.0,0.0,0
4, sxtxstate great stuff on Fri  SXSW  Marissa Mayer  Google   Tim O'Reilly  tech books conferences   amp  Matt Mullenweg  Wordpress , sxtxstate great stuff on fri  sxsw  marissa mayer  google   tim o reilly  tech books conferences   amp  matt mullenweg  wordpress ,great stuff on o tech,Google,Google,Positive emotion,Positive emotion,0.75,0.75,0.75,0.8,0.8,0.8,1
5, teachntech00 New iPad Apps For  SpeechTherapy And Communication Are Showcased At The  SXSW Conference http   ht ly 49n4M  iear  edchat  asd,   new ipad apps for  speechtherapy and communication are showcased at the  sxsw conference http   ht ly    iear  edchat  asd,new for and communication are at the conference ly,iPad,Apple,No emotion toward brand or product,Positive emotion,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.13636363636363635,0.13636363636363635,0.13636363636363635,2
6, SXSW is just starting   CTIA is around the corner and  googleio is only a hop skip and a jump from there  good time to be an  android fan, sxsw is just starting   ctia is around the corner and  googleio is only a hop skip and a jump from there  good time to be an  android fan,is just starting is around the corner and is only a hop skip and a jump from there good time to be an android fan,Android,Google,Positive emotion,Positive emotion,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.2333333333333333,0.2333333333333333,0.2333333333333333,1
7,Beautifully smart and simple idea RT  madebymany  thenextweb wrote about our  hollergram iPad app for  sxsw  http   bit ly ieaVOB,beautifully smart and simple idea rt  madebymany  thenextweb wrote about our  hollergram ipad app for  sxsw  http   bit ly ieavob,beautifully smart and simple idea wrote about our for bit ly,iPad,Apple,Positive emotion,Positive emotion,0.5,0.5,0.5,0.10714285714285714,0.10714285714285714,0.10714285714285714,1
8,Counting down the days to  sxsw plus strong Canadian dollar means stock up on Apple gear,counting down the days to  sxsw plus strong canadian dollar means stock up on apple gear,counting down the days to plus strong dollar stock up on apple gear,Apple,Apple,Positive emotion,Positive emotion,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.13888888888888884,0.13888888888888884,0.13888888888888884,1
9,Excited to meet the  samsungmobileus at  sxsw so I can show them my Sprint Galaxy S still running Android 2 1     fail,excited to meet the  samsungmobileus at  sxsw so i can show them my sprint galaxy s still running android         fail,excited to meet the at so i can show them my sprint galaxy s still running android fail,Android,Google,Positive emotion,Negative Emotion,0.5249999999999999,0.5249999999999999,0.5249999999999999,-0.0625,-0.0625,-0.0625,1
10,Find  amp  Start Impromptu Parties at  SXSW With  HurricaneParty http   bit ly gVLrIn I can't wait til the Android app comes out ,find  amp  start impromptu parties at  sxsw with  hurricaneparty http   bit ly gvlrin i can t wait til the android app comes out ,find start impromptu at with bit ly i can t wait til the android comes out,Android,Google,Positive emotion,No emotion toward brand or product,0.0,0.0,0.0,0.0,0.0,0.0,1
11,Foursquare ups the game  just in time for  SXSW http   j mp grN7pK    Still prefer  Gowalla by far  best looking Android app to date ,foursquare ups the game  just in time for  sxsw http   j mp      still prefer  gowalla by far  best looking android app to date ,foursquare the game just in time for j still prefer by far best looking android to date,Android,Google,Positive emotion,Positive emotion,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.2333333333333333,0.2333333333333333,0.2333333333333333,1
12,Gotta love this  SXSW Google Calendar featuring top parties  show cases to check out   RT  hamsandwich via  ischafer   gt http   bit ly aXZwxB,gotta love this  sxsw google calendar featuring top parties  show cases to check out   rt  hamsandwich via  ischafer   gt http   bit ly axzwxb,love this calendar top show to check out via bit ly,Google,Google,Positive emotion,Positive emotion,0.55,0.55,0.55,0.5,0.5,0.5,1
13,Great  sxsw ipad app from  madebymany  http   tinyurl com 4nqv92l,great  sxsw ipad app from  madebymany  http   tinyurl com  ,great from,iPad,Apple,Positive emotion,Positive emotion,0.75,0.75,0.75,0.8,0.8,0.8,1
14,haha  awesomely rad iPad app by  madebymany http   bit ly hTdFim  hollergram  sxsw,haha  awesomely rad ipad app by  madebymany http   bit ly htdfim  hollergram  sxsw,awesomely rad by bit ly,iPad,Apple,Positive emotion,Positive emotion,0.65,0.65,1.0,0.6,0.6,1.0,1
15,Holler Gram for iPad on the iTunes App Store    http   t co kfN3f5Q  via  marc is ken   sxsw,holler gram for ipad on the itunes app store    http   t co    via  marc is ken   sxsw,holler gram for on the store t via marc is ken,iPad,Apple,No emotion toward brand or product,No emotion toward brand or product,0.0,0.0,0.0,0.0,0.0,0.0,2
